metric_id,employee_id,work_hours_per_week,ai_tools_daily,deadline_pressure_score,job_change_intention
91,91,43,0,5.2,0
92,92,55,0,5.5,1
93,93,49,0,7.7,0
94,94,48,0,6.2,0
95,95,48,1,7.9,1
96,96,41,1,7.3,1
97,97,40,1,3.7,1
98,98,52,0,8.7,0
99,99,41,1,4.9,0
100,100,47,1,7.5,1
101,101,50,1,8.5,0
102,102,45,0,5.8,0
103,103,47,0,7.2,0
104,104,38,1,6.8,0
105,105,55,0,6.8,0
106,106,46,0,5.3,1
107,107,43,0,8.6,0
108,108,44,1,7.5,0
109,109,48,1,4.8,1
110,110,48,0,6.6,0
111,111,44,1,3.6,0
112,112,48,1,7,1
113,113,44,0,2.7,0
114,114,55,0,4.1,0
115,115,57,1,8.7,0
116,116,41,1,2.2,0
117,117,46,1,7.5,0
118,118,48,1,5.2,0
119,119,40,1,3,1
120,120,44,1,9.8,0
121,121,37,1,7.8,0
122,122,44,0,8.6,0
123,123,42,1,6.8,0
124,124,44,1,8,0
125,125,45,1,7.1,1
126,126,41,1,3.7,0
127,127,45,1,4.1,0
128,128,52,1,6.5,0
129,129,50,0,3.7,1
130,130,55,1,8.3,0
131,131,48,1,3.7,0
132,132,46,1,7.7,0
133,133,43,1,6,0
134,134,42,1,5.9,1
135,135,36,0,7.1,1
136,136,48,1,8,0
137,137,41,1,5.2,0
138,138,55,1,4.1,0
139,139,55,1,9.3,1
140,140,53,1,6,0
141,141,46,1,6.3,0
142,142,42,1,4.2,1
143,143,53,1,4.7,0
144,144,50,1,2.1,0
145,145,47,1,4.9,0
146,146,52,0,8.3,1
147,147,51,1,9.2,1
148,148,45,0,4.7,0
149,149,55,0,6.4,0
150,150,51,1,5.4,0
151,151,51,1,6.6,1
152,152,48,1,7.2,0
153,153,49,1,7.6,0
154,154,57,1,7.2,0
155,155,42,0,4.8,1
156,156,47,0,7.2,0
157,157,51,0,6,0
158,158,39,1,3,0
159,159,41,0,5.7,0
160,160,51,1,9,0
161,161,46,1,8.7,0
162,162,50,1,8.5,1
163,163,59,1,5.6,0
164,164,38,0,4.7,1
165,165,43,1,7.6,1
166,166,43,0,4.7,0
167,167,40,1,2.4,0
168,168,49,1,3.4,0
169,169,46,0,6.1,0
170,170,37,0,8,0
171,171,58,1,2.4,0
172,172,50,1,8.6,0
173,173,47,0,5.6,0
174,174,43,0,7,0
175,175,50,1,6.9,1
176,176,48,0,7.8,0
177,177,50,1,9.5,0
178,178,40,1,6.4,0
179,179,55,1,2.4,0
180,180,44,1,8.7,1
181,181,49,1,7.8,0
182,182,55,0,5.5,1
183,183,50,1,9,0
184,184,56,1,6.6,0
185,185,55,0,6.4,1
186,186,43,1,10,1
187,187,51,1,8.1,1
188,188,46,1,9.8,0
189,189,44,1,7.4,0
190,190,48,1,5.2,0
191,191,50,0,8.4,0
192,192,51,1,5.5,0
193,193,54,1,6.6,0
194,194,51,1,5.8,0
195,195,45,1,6.9,0
196,196,51,1,8.7,0
197,197,48,1,5,0
198,198,38,0,6.1,0
199,199,52,1,4.6,1
200,200,49,1,6.5,1
201,201,50,1,5,0
202,202,47,0,8.8,1
203,203,49,1,7.9,1
204,204,48,1,6.5,0
205,205,48,1,8.6,1
206,206,42,0,4.7,1
207,207,48,0,5.5,0
208,208,38,1,2.9,0
209,209,50,1,8.3,1
210,210,41,0,5,0
211,211,51,0,5.2,1
212,212,45,1,7.4,0
213,213,45,0,6.3,0
214,214,46,1,6.4,0
215,215,51,1,8.7,1
216,216,52,1,4.9,1
217,217,56,1,6.6,0
218,218,43,1,8,0
219,219,49,1,5.8,0
220,220,39,0,9.1,0
221,221,42,1,2.6,0
222,222,49,1,6.5,0
223,223,35,0,7.8,0
224,224,44,1,3.7,0
225,225,51,1,4.7,0
226,226,46,1,7.7,0
227,227,52,0,5.3,0
228,228,39,1,8.7,0
229,229,45,1,9.7,0
230,230,53,0,4.3,0
231,231,42,1,9.7,1
232,232,43,0,6.6,0
233,233,40,1,6.1,1
234,234,46,1,5.8,0
235,235,39,1,6.7,0
236,236,35,1,5.9,0
237,237,55,1,7.4,1
238,238,53,1,5.5,0
239,239,44,1,7.6,0
240,240,43,1,6.7,0
241,241,49,1,4,0
242,242,46,1,6.9,0
243,243,54,1,5.1,1
244,244,46,1,7,0
245,245,44,1,6.9,0
246,246,50,1,7.4,1
247,247,41,0,3.3,1
248,248,49,1,2.8,0
249,249,46,1,8.4,0
250,250,44,1,8.6,1
251,251,46,1,8.3,0
252,252,41,1,4.3,0
253,253,51,1,9.8,1
254,254,47,1,5.1,0
255,255,47,1,7.5,0
256,256,35,1,7.6,1
257,257,49,1,6.9,1
258,258,41,1,5.3,0
259,259,44,1,7.2,1
260,260,48,1,8,1
261,261,55,1,6.4,0
262,262,56,1,7.8,1
263,263,49,1,5,1
264,264,52,1,4.4,0
265,265,47,1,7.7,0
266,266,47,1,3.3,1
267,267,52,1,5.6,0
268,268,48,1,7.9,0
269,269,51,1,5,0
270,270,46,0,6.9,0
271,271,54,0,4.8,1
272,272,49,0,8.1,1
273,273,43,0,5.4,1
274,274,52,1,7.8,1
275,275,46,1,4.6,0
276,276,55,1,7.5,0
277,277,46,1,6.4,0
278,278,48,1,6.1,0
279,279,38,1,6.6,0
280,280,38,1,6.2,0
281,281,42,1,5.9,0
282,282,45,1,7.9,0
283,283,56,1,5.4,0
284,284,46,1,6.9,1
285,285,48,1,7.8,0
286,286,51,1,6.4,0
287,287,47,0,5.3,0
288,288,52,1,6.6,1
289,289,45,1,2.7,0
290,290,59,1,5.9,0
291,291,38,0,10,0
292,292,50,1,7.6,0
293,293,47,0,5.7,0
294,294,45,1,6.2,0
295,295,50,1,6,0
296,296,44,1,5.2,0
297,297,52,1,7.9,1
298,298,52,0,6.2,1
299,299,47,0,1,0
300,300,53,1,8.3,1
301,301,42,1,7,1
302,302,50,0,9.2,0
303,303,46,1,2.2,0
304,304,43,0,5.2,1
305,305,42,1,8.4,1
306,306,45,1,4.4,0
307,307,56,1,6.9,1
308,308,51,0,5.3,1
309,309,51,0,7.3,1
310,310,51,1,8,1
311,311,47,1,10,0
312,312,52,1,6.6,1
313,313,46,0,4.1,0
314,314,50,1,4.9,0
315,315,47,1,6.6,0
316,316,43,1,4.6,0
317,317,50,1,8.6,1
318,318,45,1,3.9,0
319,319,43,1,6,0
320,320,52,1,4.4,1
321,321,44,1,6.5,0
322,322,44,1,6.6,1
323,323,51,1,6.7,1
324,324,49,1,4.8,1
325,325,44,1,9.6,0
326,326,46,1,8.9,1
327,327,50,0,7.3,0
328,328,47,1,8.1,0
329,329,44,1,9.9,0
330,330,39,0,4.3,0
331,331,40,1,6.4,0
332,332,52,1,4.2,0
333,333,44,1,5,0
334,334,43,1,3.8,1
335,335,55,1,8.8,1
336,336,47,0,9.2,1
337,337,44,1,5.3,1
338,338,45,0,2.9,0
339,339,51,1,4.3,0
340,340,50,1,4.1,0
341,341,50,0,2.8,0
342,342,46,1,8.4,0
343,343,44,1,4.4,1
344,344,48,1,4.7,1
345,345,47,1,3.4,0
346,346,56,1,5.1,1
347,347,43,1,5.2,0
348,348,44,0,6.7,1
349,349,50,0,3.9,0
350,350,42,1,6.7,0
351,351,50,1,6.3,0
352,352,48,0,4,0
353,353,42,1,7.6,0
354,354,47,1,7.7,0
355,355,45,1,7.3,0
356,356,51,1,3.3,1
357,357,50,1,5.6,0
358,358,51,0,6.2,1
359,359,54,1,6.6,1
360,360,47,1,7.2,1
361,361,48,1,7.7,1
362,362,56,1,5.9,0
363,363,46,1,6.5,0
364,364,48,1,7.5,0
365,365,49,0,5.6,1
366,366,42,1,4.6,0
367,367,39,1,6,0
368,368,44,1,10,1
369,369,49,1,6.9,0
370,370,55,1,8,0
371,371,52,1,6.6,1
372,372,45,0,3.4,0
373,373,57,0,7.4,0
374,374,48,0,7,0
375,375,52,1,5.4,1
376,376,43,0,8,0
377,377,52,0,8.7,0
378,378,36,1,4.9,0
379,379,53,1,4.1,0
380,380,44,1,6.3,0
381,381,52,1,8.3,0
382,382,49,0,6.6,0
383,383,49,1,8.3,0
384,384,48,0,7.8,0
385,385,46,1,5.3,0
386,386,50,1,6.6,0
387,387,57,1,3.6,0
388,388,42,0,8.7,1
389,389,45,1,6.5,0
390,390,58,1,8.8,0
391,391,44,1,7,0
392,392,43,1,3.8,0
393,393,51,1,10,1
394,394,49,1,5.2,0
395,395,56,1,7.2,0
396,396,42,1,5.5,0
397,397,49,1,6.7,1
398,398,50,1,6.2,0
399,399,46,1,5.3,1
400,400,53,1,5,0
401,401,49,1,4.2,0
402,402,37,1,4.7,0
403,403,48,1,10,0
404,404,38,1,2.6,0
405,405,45,0,7.1,0
406,406,54,1,3.6,0
407,407,55,1,5.9,0
408,408,50,0,6.8,1
409,409,49,1,6.2,1
410,410,51,0,6.5,1
411,411,45,1,7.9,0
412,412,49,1,5.8,0
413,413,46,1,7.8,0
414,414,35,1,7.9,0
415,415,53,1,6.1,1
416,416,40,0,8.1,0
417,417,48,1,6.7,1
418,418,52,1,8.7,0
419,419,50,1,2.4,1
420,420,46,0,7.5,0
421,421,45,1,6.7,0
422,422,52,0,5.3,0
423,423,45,1,4.8,0
424,424,51,1,5.3,1
425,425,50,1,3.6,0
426,426,43,1,9.6,0
427,427,49,0,2.2,0
428,428,58,1,8.2,1
429,429,39,1,6.2,1
430,430,49,1,8.6,0
431,431,50,1,7.8,0
432,432,45,1,2.6,1
433,433,47,0,7.6,1
434,434,49,0,8.1,1
435,435,45,1,5.7,0
436,436,46,1,7.4,1
437,437,46,1,7.4,0
438,438,37,0,6.1,0
439,439,40,1,5.7,0
440,440,44,0,6.8,0
441,441,48,0,10,0
442,442,40,1,6.1,0
443,443,44,1,4.3,1
444,444,41,1,7.1,0
445,445,44,0,5.8,0
446,446,43,1,5.2,0
447,447,38,1,6,0
448,448,47,1,10,1
449,449,35,1,8.2,0
450,450,53,1,6.8,1
451,451,47,1,5.7,1
452,452,44,1,8.8,0
453,453,35,1,5.7,0
454,454,51,1,8.9,0
455,455,47,0,6.9,0
456,456,40,1,5.8,0
457,457,42,1,2.3,0
458,458,54,1,8.1,0
459,459,39,1,5.1,0
460,460,48,1,1.7,1
461,461,51,1,5.5,0
462,462,49,1,8.2,0
463,463,52,1,9.1,1
464,464,52,1,5.6,0
465,465,48,1,6,1
466,466,37,1,9.4,0
467,467,48,1,2.9,0
468,468,51,1,7.6,1
469,469,55,1,4.1,0
470,470,49,1,7.2,0
471,471,49,0,6.6,0
472,472,56,1,6.1,1
473,473,44,1,5.6,0
474,474,53,1,5.3,0
475,475,41,1,7.8,1
476,476,36,0,5,0
477,477,57,1,2.4,0
478,478,51,0,9,1
479,479,45,1,6.5,0
480,480,45,1,5.9,0
481,481,46,1,6.7,0
482,482,55,1,6.3,0
483,483,48,0,5.3,0
484,484,48,1,3.5,0
485,485,50,1,4.9,0
486,486,52,1,4.4,1
487,487,43,1,6.1,0
488,488,49,0,4.6,1
489,489,35,0,9.7,0
490,490,48,0,4.3,0
491,491,48,1,4.3,0
492,492,41,0,6.2,0
493,493,46,0,7.7,1
494,494,48,1,5.1,0
495,495,47,0,5.6,1
496,496,42,1,3.9,0
497,497,48,1,8.5,0
498,498,48,0,2.6,0
499,499,56,1,7.9,0
500,500,46,0,6.9,0
501,501,54,1,7.1,1
502,502,53,1,10,0
503,503,41,0,8.9,1
504,504,49,1,4.8,0
505,505,54,1,5.1,0
506,506,40,0,6.2,0
507,507,51,1,8.6,0
508,508,49,0,4.2,1
509,509,43,1,5.1,0
510,510,42,1,6.1,1
511,511,40,1,6.5,1
512,512,50,0,5.3,1
513,513,52,1,4.3,1
514,514,51,1,9.5,0
515,515,50,1,8.9,1
516,516,40,1,4.2,0
517,517,48,0,8,0
518,518,54,1,3.3,1
519,519,46,0,7.3,1
520,520,38,1,8.9,0
521,521,51,1,5.1,1
522,522,52,1,4.5,0
523,523,37,1,5.1,0
524,524,40,0,7,0
525,525,48,1,5.4,0
526,526,60,1,5.9,1
527,527,49,1,6.2,1
528,528,43,1,6.2,0
529,529,48,1,7.3,0
530,530,45,1,8.5,1
531,531,39,1,8.8,0
532,532,47,1,3,1
533,533,54,1,5.1,0
534,534,44,1,3.1,0
535,535,37,1,6.5,0
536,536,56,1,8.8,0
537,537,35,0,5,0
538,538,42,1,5.7,0
539,539,45,0,7.3,0
540,540,43,1,5.8,0
541,541,47,0,6.9,0
542,542,55,1,7.7,0
543,543,47,1,7.6,0
544,544,38,1,8.8,0
545,545,47,0,7.9,0
546,546,44,0,6,1
547,547,44,1,6,0
548,548,58,1,5.3,0
549,549,41,1,3.5,1
550,550,49,1,4.5,0
551,551,41,1,3,1
552,552,41,1,3.8,0
553,553,44,1,7.1,0
554,554,51,1,7.3,0
555,555,51,1,5.7,0
556,556,47,1,3.8,1
557,557,35,1,7.5,0
558,558,56,1,8.2,0
559,559,48,1,6.4,0
560,560,48,1,5.4,0
561,561,51,0,9.3,0
562,562,45,0,1.2,1
563,563,52,1,5.8,0
564,564,51,1,3.8,1
565,565,46,1,5.8,1
566,566,47,1,9.1,1
567,567,52,0,6.3,0
568,568,49,1,6.8,0
569,569,38,1,6.8,0
570,570,47,1,7.9,1
571,571,50,1,8.6,0
572,572,47,0,8.9,0
573,573,45,1,5.3,1
574,574,47,1,7.9,0
575,575,40,1,6.1,1
576,576,39,1,5.6,0
577,577,41,1,5.7,0
578,578,42,0,6.5,0
579,579,57,0,9,1
580,580,50,0,7.8,0
581,581,45,1,8.9,0
582,582,41,1,8.3,1
583,583,55,1,6,0
584,584,40,1,6.5,0
585,585,46,1,4.6,0
586,586,50,1,6.1,0
587,587,47,1,5.3,1
588,588,58,1,4.2,0
589,589,52,1,5.6,0
590,590,55,1,5.8,0
591,591,48,0,5.5,0
592,592,48,1,5.6,0
593,593,54,1,8.1,0
594,594,43,1,8.2,0
595,595,48,1,9,0
596,596,46,0,6.2,0
597,597,48,1,7.2,0
598,598,52,1,6.1,0
599,599,39,1,7.2,1
600,600,46,1,5.8,0
601,601,43,0,8.4,0
602,602,46,1,7.9,0
603,603,47,1,6,1
604,604,44,1,6.3,0
605,605,40,1,7,0
606,606,43,0,10,0
607,607,49,1,1.6,0
608,608,42,1,6.7,0
609,609,50,0,7.6,0
610,610,53,1,3.8,0
611,611,48,0,8.6,0
612,612,43,1,8.4,0
613,613,47,1,6.6,0
614,614,49,1,4.7,0
615,615,38,1,5.1,0
616,616,46,0,9.4,1
617,617,44,1,7,0
618,618,57,1,5.2,0
619,619,58,1,7.6,1
620,620,46,1,6.2,0
621,621,55,0,6.7,1
622,622,52,1,6.7,1
623,623,45,1,2.5,0
624,624,49,0,7.4,1
625,625,43,1,9.6,0
626,626,47,0,8.4,0
627,627,49,1,7.9,0
628,628,40,0,4.3,0
629,629,44,1,6.9,0
630,630,47,1,9,0
631,631,52,1,7.4,0
632,632,35,1,8.4,0
633,633,57,1,6.8,0
634,634,42,1,5.6,0
635,635,50,1,5.6,0
636,636,52,1,10,0
637,637,48,0,5.5,1
638,638,48,1,6.1,1
639,639,49,1,6.8,0
640,640,57,1,4.7,0
641,641,42,0,8.2,1
642,642,45,1,5.5,0
643,643,51,1,6.8,0
644,644,47,1,6,0
645,645,36,0,9.6,0
646,646,41,1,3.8,0
647,647,54,1,5.4,0
648,648,50,1,7,0
649,649,40,1,6.1,0
650,650,53,1,8.3,0
651,651,45,0,3.6,0
652,652,49,0,5.4,0
653,653,48,1,5.7,0
654,654,48,1,5.7,0
655,655,49,1,5.8,1
656,656,50,1,8.2,1
657,657,35,1,6.2,0
658,658,43,0,10,1
659,659,48,1,5.9,1
660,660,58,1,7.1,0
661,661,46,1,4.5,1
662,662,41,0,5.1,0
663,663,50,0,7.1,1
664,664,41,1,4.6,0
665,665,52,1,6.9,1
666,666,46,1,8.4,0
667,667,56,0,7.5,0
668,668,53,1,6.9,1
669,669,53,1,7.1,1
670,670,52,1,5.4,1
671,671,46,0,7.1,0
672,672,42,0,8.8,0
673,673,41,1,9.1,1
674,674,44,1,5.4,0
675,675,40,1,7.5,0
676,676,49,0,9.1,1
677,677,45,1,5.2,1
678,678,48,0,6.9,0
679,679,48,0,1.6,1
680,680,48,1,4.5,0
681,681,50,0,6.9,1
682,682,53,1,5.8,1
683,683,55,1,8.3,0
684,684,53,1,7.5,1
685,685,51,1,6.8,0
686,686,46,0,5.6,0
687,687,45,1,6.5,0
688,688,47,0,7.5,0
689,689,44,0,4.7,0
690,690,41,1,9.7,1
691,691,42,1,10,0
692,692,48,0,8.2,1
693,693,52,0,5,1
694,694,50,0,4.6,0
695,695,42,1,6.2,0
696,696,45,0,4.6,1
697,697,41,1,4.6,1
698,698,54,1,6.8,1
699,699,47,1,2.8,0
700,700,43,1,6.3,0
701,701,44,0,7.7,0
702,702,52,1,3.5,1
703,703,46,1,4.3,0
704,704,44,1,6.2,0
705,705,48,0,5.1,1
706,706,40,1,5.7,0
707,707,48,1,6.5,0
708,708,41,1,7.7,0
709,709,42,1,7.7,0
710,710,46,1,5.7,0
711,711,53,1,6,0
712,712,45,1,4.2,0
713,713,49,0,5.3,0
714,714,47,1,8.3,0
715,715,50,1,8.3,0
716,716,47,1,5.5,0
717,717,59,1,6.4,1
718,718,37,1,8.2,0
719,719,45,1,5.4,1
720,720,49,0,6.2,1
721,721,44,1,9.5,0
722,722,44,0,7.7,0
723,723,50,1,1,0
724,724,46,1,7.5,0
725,725,39,1,9.8,0
726,726,52,0,7.3,0
727,727,42,0,7,1
728,728,43,0,6,1
729,729,44,1,6,0
730,730,50,1,10,0
731,731,53,1,9.1,1
732,732,35,1,6.8,1
733,733,44,1,6.8,1
734,734,56,1,6.3,0
735,735,53,1,8,0
736,736,49,1,9.2,1
737,737,57,1,7.8,1
738,738,51,1,7.4,0
739,739,59,1,3.4,0
740,740,51,0,3.6,1
741,741,50,1,6.4,0
742,742,54,0,7.4,1
743,743,54,1,6.4,0
744,744,47,1,8,0
745,745,51,1,4.9,1
746,746,48,1,5.4,0
747,747,49,1,4.9,0
748,748,54,0,5.7,1
749,749,50,1,6.4,1
750,750,48,0,5.8,0
751,751,48,0,6.3,1
752,752,50,1,5,0
753,753,44,1,3.7,0
754,754,35,1,6.6,1
755,755,53,1,7.9,0
756,756,41,0,4.9,0
757,757,44,1,4.7,0
758,758,44,1,3.6,0
759,759,48,1,6.4,1
760,760,45,1,6.9,0
761,761,49,1,9.4,1
762,762,42,1,7.3,0
763,763,41,1,8.6,0
764,764,47,0,7.6,1
765,765,54,1,7.4,0
766,766,51,1,8,1
767,767,54,1,6.1,0
768,768,52,1,8.2,1
769,769,44,1,7.2,0
770,770,43,1,6.6,0
771,771,49,0,5.8,0
772,772,39,1,8.6,1
773,773,50,1,8,0
774,774,42,1,6,1
775,775,48,1,5.9,1
776,776,51,1,6.5,0
777,777,54,1,4.5,0
778,778,44,1,7,1
779,779,51,0,5.9,0
780,780,45,1,7,1
781,781,44,0,4.6,1
782,782,59,1,5.8,1
783,783,43,1,4.8,1
784,784,48,1,3.4,0
785,785,40,0,8.3,0
786,786,47,1,10,1
787,787,51,1,6.3,1
788,788,41,0,7.9,0
789,789,50,1,4.2,0
790,790,45,1,5.1,0
791,791,44,1,6.1,1
792,792,46,1,4.6,0
793,793,53,1,6.4,0
794,794,42,1,5.6,0
795,795,37,0,5.7,0
796,796,40,1,5.6,0
797,797,40,1,5.6,1
798,798,49,1,9.2,1
799,799,42,1,5.9,0
800,800,46,1,7.7,1
801,801,39,1,6.6,0
802,802,48,1,9,0
803,803,57,0,5.3,0
804,804,51,0,8,0
805,805,46,1,5,0
806,806,45,0,8,1
807,807,56,1,4.4,0
808,808,43,0,9,0
809,809,55,0,6.5,0
810,810,38,1,2.7,1
811,811,56,1,6.8,0
812,812,49,1,6.8,0
813,813,45,1,4.2,0
814,814,51,1,7,1
815,815,39,0,5.5,0
816,816,47,1,6.5,0
817,817,40,1,10,0
818,818,49,0,6,0
819,819,44,1,6.2,0
820,820,50,0,5.9,1
821,821,46,0,8.1,1
822,822,49,1,2.9,0
823,823,38,1,6.4,1
824,824,50,1,9.9,0
825,825,41,1,8.8,0
826,826,40,0,3.7,0
827,827,40,0,6.1,1
828,828,38,1,5.2,0
829,829,54,1,4.8,0
830,830,42,1,7.6,0
831,831,50,1,7.5,0
832,832,39,1,6.4,0
833,833,45,1,6.3,0
834,834,52,0,7.6,0
835,835,44,0,4,0
836,836,39,1,4.3,0
837,837,43,0,6.6,0
838,838,46,1,1.9,0
839,839,35,1,8.4,1
840,840,50,0,4,1
841,841,44,1,6.5,0
842,842,53,1,6,0
843,843,42,1,9,0
844,844,47,1,5.2,1
845,845,44,1,10,0
846,846,43,1,4.9,1
847,847,51,1,4.8,0
848,848,48,1,6.8,0
849,849,54,0,9.1,0
850,850,54,1,5.7,0
851,851,43,1,7.5,1
852,852,40,1,5.8,0
853,853,57,0,6.7,1
854,854,46,1,7.2,1
855,855,41,0,5.8,0
856,856,40,0,6.4,1
857,857,47,1,7.2,1
858,858,41,0,7,0
859,859,52,1,5.5,1
860,860,53,1,7.1,1
861,861,46,1,4,0
862,862,46,0,6.8,1
863,863,44,0,4.6,1
864,864,49,1,3.8,1
865,865,54,1,7.8,1
866,866,45,1,6.9,1
867,867,58,0,7.8,0
868,868,51,1,2,0
869,869,57,1,8.4,0
870,870,44,1,5.1,0
871,871,50,0,5,0
872,872,46,1,1.2,0
873,873,41,1,7.5,0
874,874,43,1,4.4,1
875,875,40,1,3.4,0
876,876,46,1,4,0
877,877,50,1,7.1,0
878,878,37,1,6.4,0
879,879,49,0,9,1
880,880,50,1,4.9,0
881,881,55,1,6.2,1
882,882,53,1,4.6,0
883,883,48,1,6.9,0
884,884,48,0,10,0
885,885,40,1,6,0
886,886,46,1,4.3,0
887,887,46,1,3.4,0
888,888,40,1,10,0
889,889,50,0,7.7,0
890,890,41,1,5.7,1
891,891,46,1,6.3,0
892,892,45,0,7.6,0
893,893,38,1,6.3,0
894,894,43,1,3.4,0
895,895,47,1,5.5,0
896,896,38,1,8.2,0
897,897,49,1,5.5,0
898,898,40,0,7.3,1
899,899,35,1,6.1,0
900,900,35,1,5.2,0
901,901,50,1,5.7,0
902,902,42,1,5.3,0
903,903,50,1,3.7,0
904,904,57,1,8.1,0
905,905,48,1,6.1,1
906,906,35,1,6,0
907,907,47,0,4,0
908,908,46,1,7.3,1
909,909,56,1,2.2,1
910,910,48,0,6.1,0
911,911,35,1,7.8,0
912,912,51,1,6.6,1
913,913,44,1,7.6,0
914,914,55,0,5.9,0
915,915,35,1,6.1,0
916,916,49,1,6.4,1
917,917,49,1,5.1,1
918,918,52,1,5.9,0
919,919,44,1,6,0
920,920,43,0,7.4,1
921,921,43,0,8.5,0
922,922,43,0,10,0
923,923,48,1,6.2,0
924,924,45,1,5.2,0
925,925,50,0,8.6,1
926,926,53,1,6.2,1
927,927,41,1,6.3,0
928,928,44,1,8.4,1
929,929,47,1,4.9,0
930,930,44,1,8.2,0
931,931,40,1,8.1,1
932,932,44,1,5.2,0
933,933,50,1,7.2,0
934,934,48,1,6.9,1
935,935,43,1,4.6,0
936,936,46,0,4.6,1
937,937,56,1,6.9,0
938,938,55,1,4.2,0
939,939,51,1,6.4,1
940,940,47,1,5.4,0
941,941,54,1,9.7,0
942,942,51,1,6.4,0
943,943,51,1,6.1,0
944,944,52,1,5.6,0
945,945,64,0,8,0
946,946,51,0,6.7,0
947,947,51,1,8.2,1
948,948,49,0,7.5,0
949,949,43,0,5.1,0
950,950,44,1,7.2,0
951,951,38,1,8.3,0
952,952,55,0,7.7,1
953,953,48,1,6,1
954,954,44,1,3.8,0
955,955,47,0,5.2,1
956,956,50,0,7.4,0
957,957,46,1,6.3,1
958,958,48,1,7.2,0
959,959,43,0,5.9,0
960,960,46,1,7,0
961,961,45,1,7.7,0
962,962,46,1,6.8,0
963,963,59,1,3.4,0
964,964,48,0,7,0
965,965,53,1,9.3,1
966,966,43,0,5.1,0
967,967,61,1,6.2,1
968,968,40,0,6,1
969,969,43,1,7.2,1
970,970,55,1,6.7,0
971,971,47,1,6.5,1
972,972,51,1,6.7,1
973,973,48,0,6.7,0
974,974,47,0,7.4,0
975,975,47,0,6.7,0
976,976,52,0,4.9,0
977,977,46,0,5.7,0
978,978,47,0,7.4,0
979,979,41,1,5.5,0
980,980,53,1,5.3,1
981,981,40,1,5.8,0
982,982,47,1,6.6,1
983,983,43,0,6.2,1
984,984,51,0,8,1
985,985,55,1,6,1
986,986,50,1,6.2,0
987,987,35,1,7.4,0
988,988,44,1,7.7,0
989,989,45,1,5.2,0
990,990,51,0,7.4,0
991,991,35,1,5.5,0
992,992,43,1,9.2,0
993,993,44,0,5.9,0
994,994,41,1,5.9,1
995,995,60,1,10,1
996,996,52,1,6.3,0
997,997,52,1,6.7,0
998,998,50,1,6.7,1
999,999,46,1,7.7,0
1000,1000,53,0,4.5,1
1001,1001,51,1,1.7,0
1002,1002,51,0,9,0
1003,1003,44,1,1.8,0
1004,1004,51,1,7,0
1005,1005,56,0,5.9,0
1006,1006,45,1,6.1,1
1007,1007,42,0,8.2,0
1008,1008,44,1,5.9,0
1009,1009,53,1,7.3,0
1010,1010,48,0,6.6,0
