job_profiles_id,employee_id,job_role,seniority_level,years_experience,work_mode,salary_usd
88,88,Data Analyst,Mid,8,On-site,53961
89,89,Software Engineer,Mid,13,Remote,64697
90,90,Data Analyst,Senior,12,Hybrid,40000
91,91,ML Engineer,Manager,15,Remote,178489
92,92,Software Engineer,Lead,9,On-site,53979
93,93,Software Engineer,Lead,7,On-site,40000
94,94,ML Engineer,Mid,9,On-site,40000
95,95,Software Engineer,Lead,0,Hybrid,105167
96,96,Software Engineer,Mid,0,Hybrid,78731
97,97,Software Engineer,Lead,0,On-site,94372
98,98,Full Stack Developer,Manager,0,Remote,139829
99,99,Data Scientist,Mid,10,Remote,88227
100,100,DevOps Engineer,Senior,3,Hybrid,128341
101,101,Cybersecurity Engineer,Junior,4,Hybrid,70812
102,102,Data Scientist,Senior,17,Hybrid,121998
103,103,Software Engineer,Mid,8,Hybrid,108268
104,104,DevOps Engineer,Senior,12,Remote,140058
105,105,Software Engineer,Lead,1,Hybrid,110124
106,106,Backend Developer,Senior,8,Hybrid,124555
107,107,ML Engineer,Mid,2,Hybrid,85934
108,108,Data Scientist,Mid,4,Hybrid,71958
109,109,Software Engineer,Senior,13,Hybrid,118643
110,110,Software Engineer,Senior,2,On-site,73606
111,111,Frontend Developer,Lead,13,Remote,164498
112,112,ML Engineer,Mid,9,Remote,61015
113,113,Software Engineer,Lead,3,Remote,120514
114,114,Data Scientist,Senior,0,Hybrid,40000
115,115,Product Manager,Mid,8,Hybrid,108664
116,116,Data Analyst,Mid,9,On-site,78206
117,117,Frontend Developer,Junior,10,Remote,63658
118,118,Backend Developer,Senior,9,Remote,141508
119,119,Full Stack Developer,Mid,21,On-site,74690
120,120,Frontend Developer,Junior,9,Remote,43325
121,121,DevOps Engineer,Mid,0,Hybrid,40000
122,122,DevOps Engineer,Junior,11,Hybrid,70281
123,123,Frontend Developer,Senior,10,Remote,85096
124,124,Software Engineer,Lead,19,Remote,134200
125,125,ML Engineer,Manager,16,Remote,126193
126,126,Frontend Developer,Junior,12,Remote,40000
127,127,Frontend Developer,Senior,16,Hybrid,120883
128,128,DevOps Engineer,Mid,0,On-site,40000
129,129,Data Analyst,Senior,4,Remote,40000
130,130,Software Engineer,Principal,2,Hybrid,148078
131,131,Full Stack Developer,Mid,5,On-site,120153
132,132,Data Scientist,Mid,0,Remote,84890
133,133,Data Scientist,Lead,15,Hybrid,141395
134,134,Software Engineer,Junior,10,Hybrid,51618
135,135,QA Engineer,Junior,0,Remote,48106
136,136,Data Analyst,Junior,2,Remote,40000
137,137,QA Engineer,Senior,11,Hybrid,73596
138,138,DevOps Engineer,Mid,15,Hybrid,118982
139,139,DevOps Engineer,Mid,25,Hybrid,82734
140,140,ML Engineer,Junior,25,Remote,79972
141,141,Cybersecurity Engineer,Junior,11,Hybrid,40000
142,142,ML Engineer,Senior,4,Hybrid,193681
143,143,QA Engineer,Junior,2,On-site,64558
144,144,Backend Developer,Mid,9,Remote,40000
145,145,Data Analyst,Junior,1,Remote,42802
146,146,DevOps Engineer,Lead,6,On-site,115863
147,147,Frontend Developer,Mid,5,Hybrid,89636
148,148,Frontend Developer,Senior,8,Remote,65995
149,149,Frontend Developer,Principal,16,Hybrid,40000
150,150,Backend Developer,Manager,9,Hybrid,41719
151,151,ML Engineer,Senior,7,Hybrid,125979
152,152,Software Engineer,Senior,3,Remote,92514
153,153,Backend Developer,Junior,0,Hybrid,40000
154,154,ML Engineer,Principal,7,Hybrid,237599
155,155,Frontend Developer,Senior,8,Hybrid,81122
156,156,ML Engineer,Senior,20,Hybrid,146915
157,157,Software Engineer,Senior,10,On-site,106260
158,158,Product Manager,Mid,16,Hybrid,70823
159,159,Software Engineer,Mid,6,Hybrid,63588
160,160,Software Engineer,Senior,1,Remote,119557
161,161,Software Engineer,Mid,3,Hybrid,80594
162,162,ML Engineer,Mid,4,Remote,89986
163,163,Frontend Developer,Principal,23,Hybrid,40000
164,164,Software Engineer,Senior,1,Remote,40000
165,165,Data Analyst,Senior,16,Hybrid,69780
166,166,Full Stack Developer,Senior,4,On-site,150741
167,167,Data Scientist,Junior,14,Remote,46572
168,168,Data Analyst,Junior,14,On-site,53157
169,169,Data Analyst,Mid,8,Hybrid,72936
170,170,Cybersecurity Engineer,Junior,8,Hybrid,63087
171,171,Data Scientist,Lead,2,Hybrid,145453
172,172,Product Manager,Junior,11,On-site,49855
173,173,Full Stack Developer,Senior,7,Hybrid,85496
174,174,Data Scientist,Senior,1,Remote,158694
175,175,Cloud Engineer,Mid,0,Remote,43639
176,176,Frontend Developer,Senior,9,Hybrid,40645
177,177,Software Engineer,Senior,18,Remote,40000
178,178,Software Engineer,Senior,9,Hybrid,40000
179,179,Data Analyst,Mid,9,Remote,85216
180,180,ML Engineer,Senior,15,Remote,93739
181,181,Backend Developer,Manager,17,Hybrid,100444
182,182,DevOps Engineer,Junior,10,Hybrid,76230
183,183,DevOps Engineer,Senior,3,On-site,124928
184,184,Software Engineer,Senior,19,Hybrid,111329
185,185,DevOps Engineer,Mid,12,Hybrid,96879
186,186,Software Engineer,Senior,22,Remote,93737
187,187,Software Engineer,Mid,10,Hybrid,107158
188,188,Cybersecurity Engineer,Junior,0,Hybrid,40000
189,189,Software Engineer,Junior,1,Remote,51436
190,190,Software Engineer,Manager,21,On-site,104566
191,191,Frontend Developer,Mid,20,On-site,87293
192,192,QA Engineer,Junior,9,Hybrid,42152
193,193,Software Engineer,Senior,5,Remote,90316
194,194,Full Stack Developer,Senior,18,Hybrid,42694
195,195,Cybersecurity Engineer,Senior,3,On-site,107559
196,196,Full Stack Developer,Senior,1,Hybrid,114439
197,197,ML Engineer,Mid,11,Remote,116066
198,198,Software Engineer,Mid,4,On-site,65747
199,199,DevOps Engineer,Junior,10,Hybrid,53097
200,200,QA Engineer,Lead,6,On-site,40000
201,201,Product Manager,Lead,13,Remote,151127
202,202,Cybersecurity Engineer,Senior,20,On-site,118160
203,203,Data Analyst,Junior,8,Remote,54531
204,204,Cybersecurity Engineer,Lead,15,Hybrid,138219
205,205,Frontend Developer,Mid,2,Remote,96941
206,206,DevOps Engineer,Junior,8,Remote,40000
207,207,Data Scientist,Senior,4,Hybrid,153739
208,208,QA Engineer,Mid,0,Remote,69112
209,209,Backend Developer,Junior,1,On-site,40000
210,210,Cloud Engineer,Junior,8,Hybrid,49671
211,211,Data Scientist,Junior,17,Hybrid,41655
212,212,Product Manager,Senior,0,On-site,76216
213,213,ML Engineer,Junior,6,On-site,41403
214,214,Data Scientist,Senior,5,Hybrid,40000
215,215,Data Analyst,Junior,9,Hybrid,40000
216,216,Frontend Developer,Junior,18,On-site,66739
217,217,Software Engineer,Senior,16,Remote,96243
218,218,Product Manager,Senior,16,Remote,135694
219,219,QA Engineer,Junior,10,On-site,40000
220,220,Product Manager,Junior,5,Remote,40000
221,221,Software Engineer,Mid,7,On-site,75156
222,222,QA Engineer,Junior,11,Hybrid,40746
223,223,Full Stack Developer,Senior,12,Hybrid,143097
224,224,Cybersecurity Engineer,Junior,0,On-site,54234
225,225,Data Analyst,Junior,9,Remote,42317
226,226,ML Engineer,Mid,11,On-site,106992
227,227,Cybersecurity Engineer,Senior,25,On-site,40419
228,228,Cybersecurity Engineer,Junior,24,Hybrid,40000
229,229,DevOps Engineer,Senior,5,Remote,40000
230,230,DevOps Engineer,Mid,9,Remote,86133
231,231,Data Analyst,Junior,0,Remote,40000
232,232,Software Engineer,Mid,6,Hybrid,102570
233,233,Data Scientist,Mid,11,On-site,40000
234,234,DevOps Engineer,Senior,17,Hybrid,124854
235,235,Software Engineer,Junior,7,Hybrid,43251
236,236,DevOps Engineer,Senior,2,On-site,93255
237,237,ML Engineer,Manager,1,On-site,113493
238,238,DevOps Engineer,Senior,9,Hybrid,120342
239,239,Frontend Developer,Mid,2,Remote,56610
240,240,Software Engineer,Senior,5,On-site,87596
241,241,Product Manager,Lead,3,Remote,185355
242,242,ML Engineer,Mid,9,Remote,125494
243,243,Cybersecurity Engineer,Lead,0,Remote,112714
244,244,Cybersecurity Engineer,Senior,0,Hybrid,82287
245,245,ML Engineer,Junior,24,Hybrid,67340
246,246,Frontend Developer,Mid,0,Remote,40000
247,247,Data Scientist,Senior,0,Remote,108375
248,248,Frontend Developer,Principal,22,Remote,48791
249,249,Full Stack Developer,Senior,25,Remote,93368
250,250,ML Engineer,Senior,0,Hybrid,91841
251,251,ML Engineer,Manager,9,Hybrid,172229
252,252,Backend Developer,Junior,11,Remote,40000
253,253,Data Scientist,Mid,23,Hybrid,81934
254,254,Product Manager,Manager,3,Hybrid,109903
255,255,Data Analyst,Senior,6,On-site,123151
256,256,Data Scientist,Senior,16,On-site,40000
257,257,Frontend Developer,Junior,11,Hybrid,47923
258,258,DevOps Engineer,Mid,4,Remote,96845
259,259,Frontend Developer,Senior,8,On-site,41082
260,260,Full Stack Developer,Senior,0,Remote,50837
261,261,Product Manager,Junior,9,Remote,78907
262,262,Software Engineer,Lead,7,Remote,109666
263,263,ML Engineer,Manager,11,Remote,219707
264,264,Software Engineer,Mid,7,Hybrid,72642
265,265,ML Engineer,Lead,12,Hybrid,175578
266,266,Data Scientist,Lead,17,Hybrid,174661
267,267,Product Manager,Principal,11,On-site,139937
268,268,ML Engineer,Manager,10,On-site,148457
269,269,Cloud Engineer,Junior,8,On-site,77625
270,270,ML Engineer,Senior,10,Hybrid,101952
271,271,Backend Developer,Manager,3,Hybrid,134822
272,272,Data Scientist,Principal,10,On-site,58371
273,273,Product Manager,Senior,7,Hybrid,76706
274,274,ML Engineer,Principal,22,Hybrid,139545
275,275,ML Engineer,Junior,19,Remote,43902
276,276,ML Engineer,Junior,9,Hybrid,55763
277,277,Data Scientist,Senior,4,Hybrid,40000
278,278,Data Scientist,Senior,0,Hybrid,94982
279,279,Product Manager,Mid,19,Hybrid,74205
280,280,Data Analyst,Senior,10,Remote,83318
281,281,ML Engineer,Senior,11,Remote,111053
282,282,Software Engineer,Mid,0,Hybrid,92675
283,283,Software Engineer,Manager,16,Hybrid,109228
284,284,Software Engineer,Junior,11,Remote,66090
285,285,Software Engineer,Principal,1,On-site,54405
286,286,Software Engineer,Junior,5,Hybrid,41116
287,287,Software Engineer,Mid,10,Hybrid,78847
288,288,ML Engineer,Lead,8,Hybrid,179782
289,289,Backend Developer,Lead,5,On-site,98244
290,290,Frontend Developer,Lead,7,Hybrid,42529
291,291,DevOps Engineer,Mid,8,Remote,82337
292,292,Data Scientist,Mid,10,On-site,119436
293,293,Backend Developer,Lead,19,Hybrid,119365
294,294,Backend Developer,Junior,0,On-site,40000
295,295,Full Stack Developer,Principal,11,Remote,135516
296,296,DevOps Engineer,Senior,9,Hybrid,40000
297,297,ML Engineer,Manager,11,Remote,156315
298,298,Cybersecurity Engineer,Manager,9,Hybrid,44949
299,299,Software Engineer,Junior,0,Hybrid,41763
300,300,Software Engineer,Manager,11,On-site,40000
301,301,Software Engineer,Senior,22,Remote,97539
302,302,Backend Developer,Manager,0,Hybrid,119401
303,303,Data Analyst,Manager,16,Hybrid,131357
304,304,Full Stack Developer,Junior,7,On-site,56171
305,305,QA Engineer,Senior,7,On-site,73350
306,306,Data Analyst,Mid,3,Hybrid,40000
307,307,Backend Developer,Junior,7,Remote,49693
308,308,Software Engineer,Lead,20,Hybrid,83873
309,309,Data Analyst,Senior,13,Hybrid,92387
310,310,Cloud Engineer,Junior,18,Remote,40000
311,311,DevOps Engineer,Senior,16,Remote,54385
312,312,Frontend Developer,Senior,13,Hybrid,40000
313,313,Software Engineer,Senior,20,Remote,113202
314,314,Software Engineer,Senior,17,On-site,40000
315,315,Product Manager,Mid,15,Hybrid,117177
316,316,Full Stack Developer,Mid,5,Remote,66522
317,317,Frontend Developer,Lead,10,Remote,136050
318,318,Data Analyst,Manager,3,On-site,104601
319,319,Backend Developer,Mid,17,On-site,86415
320,320,Cybersecurity Engineer,Junior,1,Remote,65184
321,321,Software Engineer,Junior,13,Hybrid,45527
322,322,Software Engineer,Junior,7,On-site,54911
323,323,Data Scientist,Senior,16,Remote,40000
324,324,Backend Developer,Lead,13,Remote,40000
325,325,Software Engineer,Mid,20,Hybrid,52033
326,326,Product Manager,Mid,14,Remote,40000
327,327,ML Engineer,Junior,0,On-site,43807
328,328,Full Stack Developer,Junior,11,Hybrid,47817
329,329,Frontend Developer,Junior,1,Hybrid,40696
330,330,Data Scientist,Junior,5,Hybrid,40000
331,331,ML Engineer,Senior,22,Hybrid,81546
332,332,Software Engineer,Junior,12,Hybrid,44651
333,333,ML Engineer,Senior,4,On-site,139576
334,334,ML Engineer,Mid,1,Hybrid,40000
335,335,Backend Developer,Senior,8,On-site,100293
336,336,Data Scientist,Junior,3,Hybrid,53402
337,337,DevOps Engineer,Lead,6,Remote,168234
338,338,Frontend Developer,Mid,10,Remote,40000
339,339,Data Scientist,Manager,17,Hybrid,141430
340,340,DevOps Engineer,Lead,13,Remote,120801
341,341,ML Engineer,Lead,1,On-site,56310
342,342,Software Engineer,Senior,12,Hybrid,93389
343,343,ML Engineer,Mid,10,On-site,68539
344,344,ML Engineer,Mid,12,Hybrid,77422
345,345,Product Manager,Mid,21,Hybrid,113057
346,346,Data Scientist,Manager,0,Remote,123912
347,347,Data Scientist,Mid,7,Remote,80327
348,348,ML Engineer,Senior,15,Remote,136505
349,349,Full Stack Developer,Mid,0,Hybrid,75676
350,350,Data Analyst,Senior,20,Hybrid,40000
351,351,Backend Developer,Senior,9,Remote,40000
352,352,Data Scientist,Lead,16,On-site,58129
353,353,Data Scientist,Senior,6,Remote,120876
354,354,ML Engineer,Manager,14,Remote,66476
355,355,ML Engineer,Senior,16,Hybrid,158615
356,356,Software Engineer,Senior,10,On-site,97203
357,357,Data Analyst,Senior,11,Hybrid,81884
358,358,DevOps Engineer,Junior,11,Remote,45972
359,359,Software Engineer,Senior,5,Hybrid,134621
360,360,Data Scientist,Lead,7,On-site,106151
361,361,Backend Developer,Manager,7,On-site,42685
362,362,Cybersecurity Engineer,Manager,14,Remote,173913
363,363,Cloud Engineer,Mid,13,Hybrid,84668
364,364,Software Engineer,Lead,1,On-site,144709
365,365,Data Scientist,Manager,8,On-site,44510
366,366,Data Analyst,Mid,18,Remote,40000
367,367,Software Engineer,Senior,4,Hybrid,80308
368,368,Product Manager,Senior,4,Hybrid,98945
369,369,ML Engineer,Junior,11,Remote,78771
370,370,Data Scientist,Mid,16,Remote,112238
371,371,Product Manager,Junior,8,Remote,58206
372,372,Software Engineer,Manager,15,Hybrid,134007
373,373,Cloud Engineer,Junior,16,On-site,76680
374,374,Data Scientist,Junior,12,Hybrid,54425
375,375,ML Engineer,Junior,15,On-site,71971
376,376,ML Engineer,Mid,22,Remote,90807
377,377,Data Analyst,Manager,5,Hybrid,40000
378,378,Software Engineer,Mid,0,On-site,41021
379,379,ML Engineer,Lead,20,On-site,164139
380,380,QA Engineer,Manager,6,Hybrid,131261
381,381,ML Engineer,Mid,10,Remote,109591
382,382,Backend Developer,Manager,20,Remote,161728
383,383,Software Engineer,Junior,0,Remote,41913
384,384,Data Scientist,Mid,1,Remote,84952
385,385,Cybersecurity Engineer,Principal,0,Hybrid,189607
386,386,ML Engineer,Lead,2,On-site,56895
387,387,DevOps Engineer,Senior,12,Remote,127961
388,388,Software Engineer,Lead,13,Hybrid,88746
389,389,Frontend Developer,Senior,13,On-site,78631
390,390,ML Engineer,Principal,0,Remote,157642
391,391,Full Stack Developer,Senior,0,Hybrid,40000
392,392,Cloud Engineer,Mid,11,Remote,121408
393,393,Data Analyst,Junior,8,Hybrid,40000
394,394,Software Engineer,Lead,12,Hybrid,105268
395,395,Data Analyst,Manager,12,Hybrid,40000
396,396,Data Scientist,Mid,7,Remote,118409
397,397,Full Stack Developer,Junior,14,Hybrid,56795
398,398,DevOps Engineer,Mid,11,Hybrid,61114
399,399,Product Manager,Junior,10,On-site,64625
400,400,Cybersecurity Engineer,Manager,4,Remote,123216
401,401,Software Engineer,Senior,6,Remote,111261
402,402,Software Engineer,Mid,7,Remote,111032
403,403,Data Analyst,Mid,14,On-site,40000
404,404,Software Engineer,Principal,6,Hybrid,157739
405,405,QA Engineer,Mid,14,Hybrid,40000
406,406,Product Manager,Junior,6,On-site,68689
407,407,ML Engineer,Senior,8,On-site,130273
408,408,Software Engineer,Mid,17,On-site,84360
409,409,Full Stack Developer,Junior,2,Hybrid,40000
410,410,Cloud Engineer,Mid,0,Hybrid,66511
411,411,ML Engineer,Senior,1,On-site,40000
412,412,Data Scientist,Junior,0,Hybrid,40000
413,413,ML Engineer,Principal,3,Remote,236652
414,414,Data Analyst,Junior,14,Remote,45493
415,415,Data Scientist,Lead,6,Hybrid,48555
416,416,Backend Developer,Senior,8,Hybrid,94989
417,417,Cybersecurity Engineer,Junior,16,Hybrid,67504
418,418,ML Engineer,Junior,20,Remote,94753
419,419,Frontend Developer,Lead,10,On-site,118024
420,420,Software Engineer,Junior,20,Remote,59511
421,421,Software Engineer,Senior,8,Hybrid,137531
422,422,Frontend Developer,Mid,3,Remote,102967
423,423,Cybersecurity Engineer,Senior,3,Remote,141976
424,424,Cybersecurity Engineer,Senior,1,Hybrid,124657
425,425,Software Engineer,Mid,3,Hybrid,71701
426,426,Data Analyst,Senior,6,Remote,74960
427,427,ML Engineer,Manager,15,Remote,195273
428,428,Software Engineer,Manager,20,Hybrid,85781
429,429,DevOps Engineer,Mid,0,On-site,84607
430,430,Software Engineer,Junior,13,On-site,40000
431,431,QA Engineer,Mid,1,Hybrid,54557
432,432,Cybersecurity Engineer,Mid,16,Hybrid,70227
433,433,Cloud Engineer,Mid,11,Hybrid,40000
434,434,Data Scientist,Mid,1,Hybrid,83756
435,435,Data Analyst,Senior,14,Hybrid,40000
436,436,Full Stack Developer,Mid,4,Hybrid,81477
437,437,Data Scientist,Mid,3,Hybrid,91833
438,438,Cloud Engineer,Mid,3,Remote,40000
439,439,Data Scientist,Senior,5,Remote,96974
440,440,Data Scientist,Senior,11,Hybrid,136109
441,441,Product Manager,Senior,6,Remote,130466
442,442,ML Engineer,Mid,9,Remote,90084
443,443,Software Engineer,Junior,14,Remote,40000
444,444,Product Manager,Manager,18,On-site,113585
445,445,DevOps Engineer,Junior,7,Hybrid,40000
446,446,Frontend Developer,Senior,2,Remote,40000
447,447,Software Engineer,Lead,15,On-site,105958
448,448,Frontend Developer,Mid,5,On-site,51174
449,449,Software Engineer,Senior,16,On-site,89649
450,450,Data Scientist,Junior,12,Remote,49929
451,451,Software Engineer,Mid,9,Remote,58397
452,452,QA Engineer,Mid,13,Remote,60931
453,453,ML Engineer,Mid,23,Hybrid,71379
454,454,Frontend Developer,Lead,22,On-site,40000
455,455,Data Analyst,Mid,7,On-site,65330
456,456,Data Analyst,Senior,9,Hybrid,80616
457,457,Software Engineer,Lead,16,Hybrid,65425
458,458,Software Engineer,Principal,3,Hybrid,127350
459,459,Full Stack Developer,Senior,11,Hybrid,40000
460,460,Product Manager,Principal,12,On-site,156855
461,461,ML Engineer,Junior,9,On-site,57589
462,462,ML Engineer,Junior,2,Hybrid,61740
463,463,Backend Developer,Manager,0,Remote,133427
464,464,DevOps Engineer,Mid,0,Hybrid,98908
465,465,Software Engineer,Mid,0,Remote,40000
466,466,Frontend Developer,Senior,4,Hybrid,80366
467,467,Product Manager,Senior,6,Hybrid,55897
468,468,Data Scientist,Manager,25,Hybrid,188278
469,469,DevOps Engineer,Manager,18,Hybrid,108716
470,470,Software Engineer,Senior,3,Hybrid,105918
471,471,Full Stack Developer,Mid,11,Hybrid,88809
472,472,Backend Developer,Lead,7,Remote,40000
473,473,Software Engineer,Manager,9,Remote,114009
474,474,Data Analyst,Mid,11,Hybrid,59740
475,475,DevOps Engineer,Senior,15,Hybrid,116440
476,476,Software Engineer,Manager,8,Hybrid,40000
477,477,Frontend Developer,Junior,15,On-site,53026
478,478,Cloud Engineer,Manager,0,Remote,146840
479,479,Software Engineer,Principal,9,Hybrid,111672
480,480,Data Analyst,Junior,25,On-site,40000
481,481,Data Scientist,Senior,9,Remote,42155
482,482,Frontend Developer,Manager,17,Hybrid,157206
483,483,DevOps Engineer,Junior,10,On-site,41357
484,484,Data Analyst,Mid,11,Hybrid,40000
485,485,Full Stack Developer,Manager,6,Hybrid,138410
486,486,QA Engineer,Senior,8,Remote,113835
487,487,Frontend Developer,Mid,4,On-site,83859
488,488,Data Analyst,Junior,12,Remote,40000
489,489,DevOps Engineer,Senior,1,On-site,122745
490,490,Data Scientist,Mid,14,Remote,105287
491,491,Backend Developer,Mid,18,Hybrid,57123
492,492,Data Analyst,Senior,13,Hybrid,76167
493,493,Cloud Engineer,Senior,5,Hybrid,129868
494,494,Cloud Engineer,Senior,10,Hybrid,112899
495,495,Cloud Engineer,Mid,5,On-site,120337
496,496,Software Engineer,Mid,17,Remote,101701
497,497,Software Engineer,Mid,0,On-site,80762
498,498,Software Engineer,Mid,8,Hybrid,61735
499,499,Data Scientist,Principal,2,Hybrid,123541
500,500,ML Engineer,Manager,0,Remote,60997
501,501,Software Engineer,Mid,19,On-site,57178
502,502,Software Engineer,Lead,14,Hybrid,163123
503,503,Frontend Developer,Senior,2,On-site,124896
504,504,Cybersecurity Engineer,Mid,0,Hybrid,80745
505,505,Frontend Developer,Junior,0,Remote,40000
506,506,Software Engineer,Junior,5,Remote,69732
507,507,ML Engineer,Senior,25,Remote,94771
508,508,Software Engineer,Lead,12,Hybrid,123461
509,509,Data Scientist,Manager,4,Hybrid,169840
510,510,Software Engineer,Mid,12,On-site,42553
511,511,Data Scientist,Junior,0,Hybrid,57981
512,512,Software Engineer,Manager,8,Hybrid,51058
513,513,Software Engineer,Senior,9,Remote,75274
514,514,Frontend Developer,Senior,9,On-site,115084
515,515,Backend Developer,Junior,12,On-site,64687
516,516,Product Manager,Mid,9,Hybrid,107373
517,517,ML Engineer,Mid,15,Hybrid,87841
518,518,Software Engineer,Senior,4,Remote,110848
519,519,Data Scientist,Mid,13,Hybrid,102491
520,520,DevOps Engineer,Senior,24,On-site,88225
521,521,Software Engineer,Manager,1,Hybrid,40000
522,522,ML Engineer,Manager,2,Remote,187017
523,523,Data Analyst,Mid,17,On-site,69057
524,524,Data Scientist,Senior,7,Remote,111925
525,525,Software Engineer,Senior,19,Remote,125524
526,526,Product Manager,Principal,4,Hybrid,132996
527,527,Data Scientist,Senior,20,Remote,40000
528,528,Data Analyst,Mid,10,On-site,40000
529,529,QA Engineer,Mid,11,Hybrid,65319
530,530,Software Engineer,Mid,19,Hybrid,102003
531,531,Data Analyst,Senior,7,Hybrid,40000
532,532,Backend Developer,Mid,3,Hybrid,69258
533,533,Software Engineer,Manager,5,Hybrid,157960
534,534,Full Stack Developer,Mid,12,On-site,40000
535,535,ML Engineer,Junior,1,Hybrid,40000
536,536,DevOps Engineer,Senior,14,On-site,47355
537,537,Product Manager,Manager,5,On-site,160277
538,538,Backend Developer,Mid,17,Hybrid,109024
539,539,ML Engineer,Mid,1,Remote,71517
540,540,Backend Developer,Mid,4,Hybrid,85571
541,541,Software Engineer,Mid,0,On-site,40000
542,542,ML Engineer,Senior,5,Remote,127176
543,543,Backend Developer,Junior,11,Remote,40000
544,544,Cloud Engineer,Lead,9,Remote,124940
545,545,Frontend Developer,Mid,6,Hybrid,40000
546,546,Full Stack Developer,Manager,7,On-site,133066
